Name	WikipediaLink	Source
Farnsworth	https://en.wikipedia.org/wiki/Philo_Farnsworth	md
Lord Bothwell	https://en.wikipedia.org/wiki/James_Hepburn,_4th_Earl_of_Bothwell	md
Nijinsky	https://en.wikipedia.org/wiki/Vaslav_Nijinsky	md
Rabi	https://en.wikipedia.org/wiki/Isidor_Isaac_Rabi	md
Bow, Clara	https://en.wikipedia.org/wiki/Clara_Bow	md
Hart, WS	https://en.wikipedia.org/wiki/William_S._Hart	md
Aniline Dye	https://en.wikipedia.org/wiki/Aniline#Synthetic_dye_industry	md
chewing gum	https://en.wikipedia.org/wiki/Chewing_gum	md
Smith FE (Earl Birkenhead) of	https://en.wikipedia.org/wiki/F._E._Smith,_1st_Earl_of_Birkenhead	md
Franklin, Benjamin	https://en.wikipedia.org/wiki/Benjamin_Franklin	md
Hooke, Robert 2	https://en.wikipedia.org/wiki/Robert_Hooke	md
Gutenberg	https://en.wikipedia.org/wiki/Johannes_Gutenberg	md
Appleton, Edward	https://en.wikipedia.org/wiki/Edward_Victor_Appleton	md
Bismarck, Otto von	https://en.wikipedia.org/wiki/Otto_von_Bismarck	md
Albertus Magnus	https://en.wikipedia.org/wiki/Albertus_Magnus	md
Clarke, Arthur C 2001	https://en.wikipedia.org/wiki/Arthur_C._Clarke	md
Bethe	https://en.wikipedia.org/wiki/Hans_Bethe	md
Calvin, John	https://en.wikipedia.org/wiki/John_Calvin	md
Nehru	https://en.wikipedia.org/wiki/Jawaharlal_Nehru	md
Philosophy	https://en.wikipedia.org/wiki/Philosophy	md
Death Ray	https://en.wikipedia.org/wiki/Death_ray	md
Griffith DW	https://en.wikipedia.org/wiki/D._W._Griffith	md
watt unit	https://en.wikipedia.org/wiki/Watt	md
Santa Anna	https://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna	md
Hamilton, Sir Wm	https://en.wikipedia.org/wiki/William_Hamilton_(diplomat	md
Liquid-Fuelled Rocket	https://en.wikipedia.org/wiki/Liquid-propellant_rocket	md
Vacuum Flask	https://en.wikipedia.org/wiki/Vacuum_flask	md
De Valera 2	https://en.wikipedia.org/wiki/%C3%89amon_de_Valera	md
Nicotine	https://en.wikipedia.org/wiki/Nicotine	md
Fabry	https://en.wikipedia.org/wiki/Charles_Fabry	md
Benzene ring	https://en.wikipedia.org/wiki/Benzene#Structure	md
Wright, Fanny	https://en.wikipedia.org/wiki/Frances_Wright	md
Baudelaire	https://en.wikipedia.org/wiki/Charles_Baudelaire	md
Calculus	https://en.wikipedia.org/wiki/Calculus	md
Tolstoy, Ilya	https://en.wikipedia.org/wiki/Ilya_Andreyevich_Tolstoy	md
Franz Joseph Emp	https://en.wikipedia.org/wiki/Franz_Joseph_I_of_Austria	md
Strasberg, Lee	https://en.wikipedia.org/wiki/Lee_Strasberg	md
Clipper ship	https://en.wikipedia.org/wiki/Clipper	md
Aristotle 2	https://en.wikipedia.org/wiki/Aristotle	md
Byrd, R 2	https://en.wikipedia.org/wiki/Richard_E._Byrd	md
Fairbanks Snr., Douglas	https://en.wikipedia.org/wiki/Douglas_Fairbanks	md
Dolphins	https://en.wikipedia.org/wiki/Dolphin	md
De Troyes	https://en.wikipedia.org/wiki/Chr%C3%A9tien_de_Troyes	md
Fertilizer	https://en.wikipedia.org/wiki/Fertilizer	md
Crompton	https://en.wikipedia.org/wiki/Samuel_Crompton	md
Bosch, H 2	https://en.wikipedia.org/wiki/Hieronymus_Bosch	md
Bruckner	https://en.wikipedia.org/wiki/Anton_Bruckner	md
Mason, Charles	https://en.wikipedia.org/wiki/Charles_Mason	md
Graham, Duke Montrose	https://en.wikipedia.org/wiki/James_Graham,_1st_Duke_of_Montrose	md
Tompion	https://en.wikipedia.org/wiki/Thomas_Tompion	md
Fascism	https://en.wikipedia.org/wiki/Fascism	md
Brooklyn Bridge	https://en.wikipedia.org/wiki/Brooklyn_Bridge	md
Spaceflight	https://en.wikipedia.org/wiki/Spaceflight	md
Swedenborg	https://en.wikipedia.org/wiki/Emanuel_Swedenborg	md
Salieri	https://en.wikipedia.org/wiki/Antonio_Salieri	md
Siemens, William	https://en.wikipedia.org/wiki/Carl_Wilhelm_Siemens	md
Stravinsky	https://en.wikipedia.org/wiki/Igor_Stravinsky	md
Strindberg	https://en.wikipedia.org/wiki/August_Strindberg	md
Transcontinental Railroad	https://en.wikipedia.org/wiki/Golden_spike	md
Lamb Lady Caroline	https://en.wikipedia.org/wiki/Lady_Caroline_Lamb	md
Shelley PB	https://en.wikipedia.org/wiki/Percy_Bysshe_Shelley	md
Rush, Benjamin	https://en.wikipedia.org/wiki/Benjamin_Rush	md
Mazzini	https://en.wikipedia.org/wiki/Giuseppe_Mazzini	md
Bellini, Giovanni	https://en.wikipedia.org/wiki/Giovanni_Bellini	md
Mach	https://en.wikipedia.org/wiki/Ernst_Mach	md
Handel	https://en.wikipedia.org/wiki/George_Frideric_Handel	md
Todd, Sir Charles	https://en.wikipedia.org/wiki/Charles_Todd_(pioneer	md
gramophone	https://en.wikipedia.org/wiki/Phonograph	md
Ridley, Harold Sir	https://en.wikipedia.org/wiki/Harold_Ridley_(ophthalmologist	md
Alfonso X	https://en.wikipedia.org/wiki/Alfonso_X_of_Castile	md
Alfonso VI	https://en.wikipedia.org/wiki/Alfonso_VI_of_Le%C3%B3n_and_Castile	md
Benes E	https://en.wikipedia.org/wiki/Edvard_Bene%C5%A1	md
New Harmony	https://en.wikipedia.org/wiki/New_Harmony,_Indiana	md
Sprat, Thomas	https://en.wikipedia.org/wiki/Thomas_Sprat	md
Defoe	https://en.wikipedia.org/wiki/Daniel_Defoe	md
Kay, John	https://en.wikipedia.org/wiki/John_Kay_%28flying_shuttle%29	md
Duncan, Isadora	https://en.wikipedia.org/wiki/Isadora_Duncan	md
Sound on Film / Talkies	https://en.wikipedia.org/wiki/Sound-on-film	md
Bligh HMS Bounty	https://en.wikipedia.org/wiki/William_Bligh	md
Blood Circulation	https://en.wikipedia.org/wiki/Circulatory_system	md
Alighieri Dante 2	https://en.wikipedia.org/wiki/Dante_Alighieri	md
Ashton Sir F	https://en.wikipedia.org/wiki/Frederick_Ashton	md
Sprengel, Herman JP	https://en.wikipedia.org/wiki/Hermann_Sprengel	md
Maskelyne	https://en.wikipedia.org/wiki/Nevil_Maskelyne	md
Brecht 2	https://en.wikipedia.org/wiki/Bertolt_Brecht	md
Stanton EM	https://en.wikipedia.org/wiki/Edwin_Stanton	md
Utopian Community	https://en.wikipedia.org/wiki/Utopia#Utopianism	md
Electrolysis	https://en.wikipedia.org/wiki/Electrolysis	md
Armstrong, Wm G	https://en.wikipedia.org/wiki/William_Armstrong,_1st_Baron_Armstrong	md
Nicholson, William	https://en.wikipedia.org/wiki/William_Nicholson_(chemist	md
Mary Queen of Scots	https://en.wikipedia.org/wiki/Mary,_Queen_of_Scots	md
celluloid	https://en.wikipedia.org/wiki/Celluloid	md
Correns CFJE	https://en.wikipedia.org/wiki/Carl_Correns	md
Phelan & Collander	https://en.wikipedia.org/wiki/Michael_Phelan_%28billiards%29	md
USA	https://en.wikipedia.org/wiki/United_States	md
Barbed Wire	https://en.wikipedia.org/wiki/Barbed_wire	md
Balanchine	https://en.wikipedia.org/wiki/George_Balanchine	md
Bragg, W Lawrence Sir	https://en.wikipedia.org/wiki/Lawrence_Bragg	md
Agricola	https://en.wikipedia.org/wiki/Georgius_Agricola	md
Westinghouse	https://en.wikipedia.org/wiki/George_Westinghouse	md
Beecham Sir T	https://en.wikipedia.org/wiki/Thomas_Beecham	md
Belasco, D	https://en.wikipedia.org/wiki/David_Belasco	md
Uranium	https://en.wikipedia.org/wiki/Uranium	md
Montessori, Maria	https://en.wikipedia.org/wiki/Maria_Montessori	md
La Condamine	https://en.wikipedia.org/wiki/Charles_Marie_de_La_Condamine	md
Ayer FW	https://en.wikipedia.org/wiki/Francis_Ayer	md
Gay Lussac	https://en.wikipedia.org/wiki/Joseph_Louis_Gay-Lussac	md
Accademia del Cimento	https://en.wikipedia.org/wiki/Accademia_del_Cimento	md
Soap Opera	https://en.wikipedia.org/wiki/Soap_opera	md
electromagnetism	https://en.wikipedia.org/wiki/Electromagnetism	md
Diesel	https://en.wikipedia.org/wiki/Rudolf_Diesel	md
Breughel, Pieter	https://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder	md
Chicago Expo 1893	https://en.wikipedia.org/wiki/World%27s_Columbian_Exposition	md
Booth Sir F	https://en.wikipedia.org/wiki/Felix_Booth	md
Basselin	https://en.wikipedia.org/wiki/Olivier_Basselin	md
Ampere, A 2	https://en.wikipedia.org/wiki/Andr%C3%A9-Marie_Amp%C3%A8re	md
Papin	https://en.wikipedia.org/wiki/Denis_Papin	md
Hydraulic Ram	https://en.wikipedia.org/wiki/Hydraulic_ram	md
Schwab CM	https://en.wikipedia.org/wiki/Charles_M._Schwab	md
Jacquard, JM	https://en.wikipedia.org/wiki/Joseph_Marie_Jacquard	md
Edison, Thomas	https://en.wikipedia.org/wiki/Thomas_Edison	md
Casaubon	https://en.wikipedia.org/wiki/Isaac_Casaubon	md
Mendel, Gregor 2	https://en.wikipedia.org/wiki/Gregor_Mendel	md
Adelard of Bath	https://en.wikipedia.org/wiki/Adelard_of_Bath	md
Camus	https://en.wikipedia.org/wiki/Albert_Camus	md
Nieuwland	https://en.wikipedia.org/wiki/Julius_Nieuwland	md
Christie SH	https://en.wikipedia.org/wiki/Samuel_Hunter_Christie	md
Bernadotte, Folke	https://en.wikipedia.org/wiki/Folke_Bernadotte	md
Dalkin CP	https://en.wikipedia.org/wiki/Carbon_paper	md
Addison, Thomas Dr.	https://en.wikipedia.org/wiki/Thomas_Addison	md
Cloud chamber	https://en.wikipedia.org/wiki/Cloud_chamber	md
